Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Italy,"34,179.60","34,391.50","34,261.10","34,499.80","34,727.10","33,304.40","31,764.20","31,702.00","31,510.50","30,200.50","29,672.30","29,976.30","30,206.40","31,430.60","32,041.90","32,589.70","32,774.30","29,865.30","32,465.80","32,621.90"
Japan,"30,503.20","31,248.30","31,797.10","31,877.50","32,186.20","30,649.90","28,858.30","30,258.30","29,938.40","30,458.90","31,344.90","31,446.70","32,771.30","33,280.70","33,813.90","33,770.10","33,631.90","32,126.70","33,082.40","32,964.20"
Korea,..,..,..,..,..,..,..,"27,208.60","27,322.70","27,808.00","28,681.20","29,380.00","30,941.90","32,078.40","33,130.00","33,366.40","32,994.10","32,539.40","33,765.00","33,111.40"
Latvia,"11,267.10","12,386.80","14,166.90","15,611.20","18,108.30","17,919.40","16,953.60","15,016.30","15,755.70","16,704.00","17,476.40","18,024.90","18,946.80","20,216.00","21,309.40","22,431.50","22,861.00","22,593.00","23,886.20","24,427.10"
Lithuania,"13,509.70","15,218.10","16,975.80","18,202.80","20,284.50","21,524.80","18,712.20","18,918.70","20,095.40","20,979.90","22,111.70","23,522.40","23,946.10","25,172.60","26,809.70","28,076.60","29,450.20","29,690.00","29,903.70","28,918.50"
Luxembourg,"61,373.30","71,638.60","74,114.70","69,512.40","79,034.40","72,239.40","51,766.90","59,362.90","59,935.40","67,765.40","63,445.80","65,670.70","57,028.80","59,260.30","64,370.40","63,700.60","60,121.10","61,441.70","64,810.60","61,440.70"
Mexico,"14,720.10","15,069.20","14,997.60","15,796.70","15,863.30","15,608.30","14,063.80","14,556.90","15,073.80","15,440.90","15,211.10","15,505.60","15,579.10","15,456.80","15,649.90","15,776.60","15,659.80","13,564.40","14,283.30","14,538.30"
Netherlands,"37,835.20","38,249.50","38,983.90","40,934.20","42,142.10","40,926.80","39,167.10","40,525.50","41,086.80","40,121.90","40,121.30","40,313.00","41,340.60","41,400.20","43,113.30","44,207.20","44,012.30","40,852.00","46,085.20","45,853.50"
New Zealand,"24,986.90","25,476.40","25,610.50","25,607.50","26,985.80","25,797.90","26,512.40","27,006.00","27,981.40","28,275.90","29,743.40","30,212.00","30,767.50","31,543.70","32,539.40","32,640.60","33,897.00","33,381.90","34,759.70",..
Norway,"43,783.00","47,007.50","51,881.90","54,856.20","54,761.10","57,293.30","50,435.60","51,918.60","53,798.70","54,963.00","54,748.40","54,742.20","52,451.80","50,570.10","52,340.20","54,642.70","51,990.30","47,423.70","56,298.10",..
Portugal,"23,565.50","23,819.60","23,841.90","23,780.70","24,438.20","23,911.20","23,487.90","23,766.10","23,465.00","22,346.80","22,858.70","23,054.50","23,751.20","24,541.80","25,397.50","25,983.20","26,685.00","24,296.50","25,776.30","26,886.60"
Slovak Republic,"14,235.20","15,609.00","17,284.10","18,823.70","21,018.20","22,171.70","20,736.20","21,861.80","22,065.00","22,611.60","22,800.30","23,339.70","24,204.20","24,433.40","25,264.50","26,265.60","26,562.70","25,799.40","26,402.20","25,727.30"
Slovenia,"22,205.10","22,861.80","23,472.80","24,657.50","26,280.50","26,841.90","24,888.90","24,472.10","24,370.90","23,130.90","23,021.70","24,066.10","24,150.10","25,373.80","26,972.00","28,394.70","29,368.00","27,962.80","29,646.10","29,060.20"
Spain,"29,725.60","30,032.90","30,399.40","30,998.10","31,352.90","30,723.30","29,685.50","29,404.80","28,520.30","27,738.70","27,616.70","28,099.30","29,469.50","30,514.00","31,317.40","31,908.30","32,268.60","27,984.60","30,103.20","30,808.40"
Sweden,"35,481.00","36,339.00","37,284.70","39,519.80","41,025.50","40,351.30","37,334.60","39,667.80","40,288.90","39,631.70","39,735.00","40,362.50","41,376.70","41,620.50","42,455.40","42,518.80","43,556.70","42,408.40","45,188.50","45,273.10"
Switzerland,"47,429.90","48,085.80","50,199.20","51,570.20","48,917.30","44,781.50","47,550.90","51,800.90","49,400.10","50,665.90","50,259.50","49,445.60","50,761.80","49,548.30","48,728.10","48,344.00","48,479.40","45,526.50","49,948.50","51,391.60"
United Kingdom,"33,342.80","34,006.90","34,805.60","34,726.00","35,063.80","34,074.30","32,347.70","33,474.10","33,626.10","33,468.70","33,731.00","34,850.90","35,421.60","35,686.70","36,751.30","36,879.10","37,887.30","32,597.80","36,818.00",..
Euro area,"31,980.10","32,559.90","32,602.60","33,641.50","34,422.70","33,573.10","32,399.00","32,800.50","32,959.00","32,550.50","32,674.50","33,150.80","33,851.50","34,705.90","35,439.30","35,869.80","36,324.90","33,367.20","35,164.40","35,081.90"
European Union,"28,602.50","29,336.60","29,652.20","30,517.10","31,423.00","30,912.30","29,770.30","30,274.10","30,564.40","30,083.30","30,154.50","30,654.80","31,446.30","32,280.50","33,081.50","33,594.00","34,153.80","31,739.00","33,858.70","33,795.30"
Russia,"12,644.70","14,571.20","16,352.60","18,457.70","20,613.30","21,890.00","17,918.50","20,075.00","22,304.20","22,934.20","22,574.10","22,078.50","20,284.20","19,293.40","20,097.40","21,946.70","21,702.10",..,..,..
South Africa,"9,591.60","10,011.10","10,532.50","11,076.20","11,382.70","11,192.30","11,131.40","11,567.70","11,797.70","11,703.40","11,770.40","11,661.20","11,786.20","11,688.50","11,825.20","11,844.40","11,866.60","11,271.70","11,929.10","11,683.50"
