"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2010","2010",468,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2011","2011",558,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2012","2012",565,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2013","2013",570,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2014","2014",612,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2015","2015",655,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2016","2016",632,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2017","2017",643,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2018","2018",612,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2019","2019",628,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2020","2020",632,,
"HOPINROH","Beds in not-for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2021","2021",633,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2010","2010",401,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2011","2011",491,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2012","2012",463,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2013","2013",355,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2014","2014",330,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2015","2015",310,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2016","2016",317,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2017","2017",306,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2018","2018",302,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2019","2019",319,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2020","2020",338,,
"HOPIFROH","Beds in for-profit privately owned hospitals","NOMBRENB","Number","DNK","Denmark","2021","2021",354,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2010","2010",31418,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2011","2011",29771,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2012","2012",28626,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2013","2013",26448,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2014","2014",24758,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2015","2015",23469,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2016","2016",21813,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2017","2017",20680,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2018","2018",19921,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2019","2019",18475,"E; B","Estimated value; Break"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2020","2020",15189,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","FIN","Finland","2021","2021",15286,"E","Estimated value"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","FIN","Finland","2010","2010",30044.42,"E","Estimated value"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","FIN","Finland","2011","2011",28325.04,"E","Estimated value"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","FIN","Finland","2012","2012",27296.19,"E","Estimated value"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","FIN","Finland","2013","2013",25342.15,"E","Estimated value"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","FIN","Finland","2014","2014",23829.3,"E","Estimated value"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","FIN","Finland","2015","2015",22310.35,"E","Estimated value"
