"","Country","Year","practicing_physicians"
"74","Finland",2015,3.41
"75","Finland",2016,3.42
"76","Finland",2017,3.47
"77","Finland",2018,3.49
"78","Finland",2019,3.57
"79","Finland",2020,3.61
"80","France",2010,3.04
"81","France",2011,3.06
"82","France",2012,3.07
"83","France",2013,3.09
"84","France",2014,3.09
"85","France",2015,3.11
"86","France",2016,3.12
"87","France",2017,3.14
"88","France",2018,3.14
"89","France",2019,3.16
"90","France",2020,3.17
"91","France",2021,3.18
"92","Germany",2010,3.71
"93","Germany",2011,3.88
"94","Germany",2012,3.95
"95","Germany",2013,4.04
"96","Germany",2014,4.11
"97","Germany",2015,4.14
"98","Germany",2016,4.19
"99","Germany",2017,4.25
"100","Germany",2018,4.31
"101","Germany",2019,4.4
"102","Germany",2020,4.47
"103","Germany",2021,4.53
"104","Hungary",2010,2.87
"105","Hungary",2011,2.96
"106","Hungary",2012,3.09
"107","Hungary",2013,3.21
"108","Hungary",2014,3.32
"109","Hungary",2015,3.1
"110","Hungary",2016,3.21
"111","Hungary",2017,3.32
"112","Hungary",2018,3.38
"113","Hungary",2019,3.49
"114","Hungary",2020,3.14
"115","Hungary",2021,3.3
"116","Iceland",2010,3.59
"117","Iceland",2011,3.5
"118","Iceland",2012,3.56
"119","Iceland",2013,3.61
"120","Iceland",2014,3.64
"121","Iceland",2015,3.78
"122","Iceland",2016,3.85
"123","Iceland",2017,3.87
"124","Iceland",2018,3.89
"125","Iceland",2019,3.89
"126","Iceland",2020,4.32
"127","Iceland",2021,4.38
"128","Iceland",2022,4.45
"129","Ireland",2011,2.67
"130","Ireland",2012,2.71
"131","Ireland",2013,2.67
"132","Ireland",2014,3.01
"133","Ireland",2015,3.12
"134","Ireland",2016,3.19
"135","Ireland",2017,3.26
"136","Ireland",2018,3.28
"137","Ireland",2019,3.32
"138","Ireland",2020,3.46
"139","Ireland",2021,4.02
"140","Italy",2010,3.82
"141","Italy",2011,3.9
"142","Italy",2012,3.87
"143","Italy",2013,3.9
"144","Italy",2014,3.88
"145","Italy",2015,3.84
"146","Italy",2016,3.95
"147","Italy",2017,3.99
"148","Italy",2018,3.98
"149","Italy",2019,4.05
"150","Italy",2020,4
"151","Italy",2021,4.1
"152","Italy",2022,4.25
"153","Japan",2010,2.21
"154","Japan",2012,2.29
"155","Japan",2014,2.36
"156","Japan",2016,2.43
"157","Japan",2018,2.49
"158","Japan",2020,2.6
"159","Korea",2010,1.98
"160","Korea",2011,2.03
"161","Korea",2012,2.07
"162","Korea",2013,2.16
"163","Korea",2014,2.2
"164","Korea",2015,2.24
"165","Korea",2016,2.29
"166","Korea",2017,2.35
"167","Korea",2018,2.39
"168","Korea",2019,2.46
"169","Korea",2020,2.51
"170","Korea",2021,2.56
"171","Luxembourg",2010,2.77
"172","Luxembourg",2011,2.78
"173","Luxembourg",2012,2.81
"174","Luxembourg",2013,2.83
"175","Luxembourg",2014,2.88
"176","Luxembourg",2015,2.91
"177","Luxembourg",2016,2.89
"178","Luxembourg",2017,2.98
"179","Mexico",2010,2
"180","Mexico",2011,2.11
"181","Mexico",2012,2.12
"182","Mexico",2013,2.16
"183","Mexico",2014,2.23
"184","Mexico",2015,2.33
"185","Mexico",2016,2.34
"186","Mexico",2017,2.4
"187","Mexico",2018,2.44
"188","Mexico",2019,2.44
"189","Mexico",2020,2.41
"190","Mexico",2021,2.51
"191","Netherlands",2014,3.42
"192","Netherlands",2015,3.49
"193","Netherlands",2016,3.54
"194","Netherlands",2017,3.6
"195","Netherlands",2018,3.67
"196","Netherlands",2019,3.75
"197","Netherlands",2020,3.85
"198","Netherlands",2021,3.9
"199","New Zealand",2010,2.62
"200","New Zealand",2011,2.65
"201","New Zealand",2012,2.72
"202","New Zealand",2013,2.83
"203","New Zealand",2014,2.89
"204","New Zealand",2015,3.03
"205","New Zealand",2016,3.12
"206","New Zealand",2017,3.25
"207","New Zealand",2018,3.31
"208","New Zealand",2019,3.38
"209","New Zealand",2020,3.43
"210","New Zealand",2021,3.53
"211","New Zealand",2022,3.62
"212","Norway",2010,4.11
"213","Norway",2011,4.19
"214","Norway",2012,4.23
"215","Norway",2013,4.31
"216","Norway",2014,4.43
"217","Norway",2015,4.45
"218","Norway",2016,4.58
"219","Norway",2017,4.73
"220","Norway",2018,4.86
"221","Norway",2019,4.97
"222","Norway",2020,5.09
"223","Norway",2021,5.16
"224","Poland",2010,2.19
"225","Poland",2011,2.21
"226","Poland",2012,2.23
"227","Poland",2013,2.24
"228","Poland",2014,2.31
"229","Poland",2015,2.33
"230","Poland",2016,2.42
"231","Poland",2017,2.38
"232","Poland",2018,2.36
"233","Poland",2019,3.3
"234","Poland",2020,3.33
"235","Poland",2021,3.44
"236","Spain",2010,3.76
"237","Spain",2011,3.84
"238","Spain",2012,3.82
"239","Spain",2013,3.81
"240","Spain",2014,3.8
"241","Spain",2015,3.85
"242","Spain",2016,3.82
"243","Spain",2017,3.88
"244","Spain",2018,4.02
"245","Spain",2019,4.4
"246","Spain",2020,4.58
"247","Spain",2021,4.49
"248","Sweden",2010,3.81
"249","Sweden",2011,3.89
"250","Sweden",2012,3.97
"251","Sweden",2013,4.04
"252","Sweden",2014,4.11
"253","Sweden",2015,4.17
"254","Sweden",2016,4.23
"255","Sweden",2017,4.27
"256","Sweden",2018,4.32
"257","Sweden",2019,4.29
"258","Sweden",2020,4.32
"259","Switzerland",2010,3.81
"260","Switzerland",2011,3.83
"261","Switzerland",2012,3.92
"262","Switzerland",2013,4.04
"263","Switzerland",2014,4.13
"264","Switzerland",2015,4.2
"265","Switzerland",2016,4.25
"266","Switzerland",2017,4.3
"267","Switzerland",2018,4.34
"268","Switzerland",2019,4.35
"269","Switzerland",2020,4.39
"270","Switzerland",2021,4.44
"271","United Kingdom",2010,2.65
"272","United Kingdom",2011,2.68
"273","United Kingdom",2012,2.7
"274","United Kingdom",2013,2.71
"275","United Kingdom",2014,2.75
"276","United Kingdom",2015,2.77
"277","United Kingdom",2016,2.78
"278","United Kingdom",2017,2.81
"279","United Kingdom",2018,2.84
"280","United Kingdom",2019,2.95
"281","United Kingdom",2020,3.03
"282","United Kingdom",2021,3.18
"283","United Kingdom",2022,3.18
"284","United States",2010,2.43
"285","United States",2011,2.46
"286","United States",2012,2.5
"287","United States",2013,2.56
"288","United States",2014,2.58
"289","United States",2015,2.58
"290","United States",2016,2.59
"291","United States",2017,2.61
"292","United States",2018,2.61
"293","United States",2019,2.64
"294","United States",2020,2.63
"295","United States",2021,2.67
"296","Brazil",2010,1.52
"297","Brazil",2011,1.5
"298","Brazil",2012,1.55
"299","Brazil",2013,1.62
"300","Brazil",2014,1.71
"301","Brazil",2015,1.73
"302","Brazil",2016,1.79
"303","Brazil",2017,1.86
"304","Brazil",2018,1.9
"305","Brazil",2019,1.97
"306","Brazil",2020,2.05
"307","Brazil",2021,2.15
"308","China (People's Republic of)",2010,1.46
"309","China (People's Republic of)",2011,1.49
"310","China (People's Republic of)",2012,1.57
"311","China (People's Republic of)",2013,1.66
"312","China (People's Republic of)",2014,1.71
"313","China (People's Republic of)",2015,1.8
"314","China (People's Republic of)",2016,1.89
"315","China (People's Republic of)",2017,2.01
"316","China (People's Republic of)",2018,2.12
"317","China (People's Republic of)",2019,2.26
"318","China (People's Republic of)",2020,2.39
"319","China (People's Republic of)",2021,2.52
"320","Estonia",2010,3.24
"321","Estonia",2011,3.29
"322","Estonia",2012,3.28
"323","Estonia",2013,3.33
"324","Estonia",2014,3.36
"325","Estonia",2015,3.41
"326","Estonia",2016,3.46
"327","Estonia",2017,3.47
"328","Estonia",2018,3.48
"329","Estonia",2019,3.47
"330","Estonia",2020,3.48
"331","Estonia",2021,3.43
"332","India",2010,0.68
"333","India",2011,0.73
"334","India",2012,0.69
"335","India",2013,0.71
"336","India",2014,0.72
"337","India",2015,0.73
"338","India",2016,0.75
"339","India",2017,0.77
"340","India",2018,0.84
"341","India",2019,0.89
"342","Indonesia",2010,0.24
"343","Indonesia",2012,0.31
"344","Indonesia",2013,0.31
"345","Indonesia",2015,0.28
"346","Indonesia",2017,0.38
"347","Indonesia",2018,0.43
"348","Indonesia",2019,0.47
"349","Indonesia",2020,0.63
"350","Indonesia",2021,0.7
"351","Israel",2010,3.01
"352","Israel",2011,3
"353","Israel",2012,2.97
"354","Israel",2013,2.94
"355","Israel",2014,2.98
"356","Israel",2015,3.07
"357","Israel",2016,3.08
"358","Israel",2017,3.14
"359","Israel",2018,3.22
"360","Israel",2019,3.29
"361","Israel",2020,3.31
"362","Israel",2021,3.35
"363","Russia",2010,5.03
"364","Russia",2011,4.25
"365","Russia",2012,4.03
"366","Russia",2013,4.02
"367","Russia",2014,4.15
"368","Russia",2015,3.9
"369","Russia",2016,3.94
"370","Russia",2017,4.04
"371","Russia",2018,4.09
"372","Russia",2019,4.16
"373","Slovenia",2010,2.43
"374","Slovenia",2011,2.49
"375","Slovenia",2012,2.54
"376","Slovenia",2013,2.63
"377","Slovenia",2014,2.77
"378","Slovenia",2015,2.83
"379","Slovenia",2016,3.01
"380","Slovenia",2017,3.1
"381","Slovenia",2018,3.18
"382","Slovenia",2019,3.26
"383","Slovenia",2020,3.3
"384","Slovenia",2021,3.34
"385","South Africa",2010,0.72
"386","South Africa",2011,0.72
"387","South Africa",2012,0.73
"388","South Africa",2013,0.74
"389","South Africa",2014,0.76
"390","South Africa",2015,0.78
"391","South Africa",2016,0.77
"392","South Africa",2017,0.79
"393","South Africa",2018,0.75
"394","South Africa",2019,0.79
"395","South Africa",2021,0.8
"396","Latvia",2010,3.11
"397","Latvia",2011,3.13
"398","Latvia",2012,3.14
"399","Latvia",2013,3.19
"400","Latvia",2014,3.22
"401","Latvia",2015,3.2
"402","Latvia",2016,3.21
"403","Latvia",2017,3.21
"404","Latvia",2018,3.3
"405","Latvia",2019,3.27
"406","Latvia",2020,3.34
"407","Latvia",2021,3.36
"408","Lithuania",2010,3.95
"409","Lithuania",2011,4.1
"410","Lithuania",2012,4.22
"411","Lithuania",2013,4.28
"412","Lithuania",2014,4.31
"413","Lithuania",2015,4.34
"414","Lithuania",2016,4.47
"415","Lithuania",2017,4.56
"416","Lithuania",2018,4.6
"417","Lithuania",2019,4.57
"418","Lithuania",2020,4.48
"419","Lithuania",2021,4.47
"420","Peru",2012,1.13
"421","Peru",2016,1.3
"422","Peru",2018,1.36
"423","Peru",2021,1.65
"424","Croatia",2010,2.86
"425","Croatia",2011,2.92
"426","Croatia",2012,2.99
"427","Croatia",2013,3.03
"428","Croatia",2014,3.14
"429","Croatia",2015,3.19
"430","Croatia",2016,3.24
"431","Croatia",2017,3.36
"432","Croatia",2018,3.44
"433","Croatia",2019,3.52
"434","Croatia",2020,3.52
"435","Croatia",2021,3.71
"436","Bulgaria",2010,3.77
"437","Bulgaria",2011,3.85
"438","Bulgaria",2012,3.87
"439","Bulgaria",2013,3.95
"440","Bulgaria",2014,3.98
"441","Bulgaria",2015,4.04
"442","Bulgaria",2016,4.11
"443","Bulgaria",2017,4.18
"444","Bulgaria",2018,4.22
"445","Bulgaria",2019,4.24
"446","Bulgaria",2020,4.28
"447","Bulgaria",2021,4.3
"448","Argentina",2013,3.94
"449","Argentina",2015,3.98
"450","Argentina",2016,3.99
"451","Argentina",2017,3.98
"452","Argentina",2020,3.87
"453","Romania",2010,2.51
"454","Romania",2011,2.54
"455","Romania",2012,2.61
"456","Romania",2013,2.64
"457","Romania",2014,2.7
"458","Romania",2015,2.77
"459","Romania",2016,2.84
"460","Romania",2017,2.93
"461","Romania",2018,3.05
"462","Romania",2019,3.19
"463","Romania",2020,3.33
"464","Romania",2021,3.51
