"","Country","Year","measles_vaccination"
"413","China (People's Republic of)",2020,99.2
"414","China (People's Republic of)",2021,99.4
"415","China (People's Republic of)",2022,99.1
"416","Estonia",2010,95.1
"417","Estonia",2011,93.9
"418","Estonia",2012,93.6
"419","Estonia",2013,93.7
"420","Estonia",2014,93.4
"421","Estonia",2015,93.4
"422","Estonia",2016,93.2
"423","Estonia",2017,93.3
"424","Estonia",2018,86.9
"425","Estonia",2019,87.8
"426","Estonia",2020,90.8
"427","Estonia",2021,89.4
"428","Estonia",2022,78
"429","India",2010,88
"430","India",2011,89
"431","India",2012,89
"432","India",2013,89
"433","India",2014,85
"434","India",2015,87
"435","India",2016,88.4
"436","India",2017,89.6
"437","India",2018,99.7
"438","India",2019,95.3
"439","India",2020,88.6
"440","India",2021,88.9
"441","India",2022,95.5
"442","Indonesia",2010,94
"443","Indonesia",2011,94
"444","Indonesia",2012,99
"445","Indonesia",2013,98
"446","Indonesia",2014,91.8
"447","Indonesia",2015,92.3
"448","Indonesia",2016,93
"449","Indonesia",2017,92
"450","Indonesia",2018,92
"451","Indonesia",2019,95.1
"452","Indonesia",2020,86.2
"453","Indonesia",2021,87.3
"454","Israel",2010,96
"455","Israel",2011,97
"456","Israel",2012,96
"457","Israel",2013,98
"458","Israel",2014,97
"459","Israel",2015,98
"460","Israel",2016,97
"461","Israel",2017,98
"462","Israel",2018,98.4
"463","Israel",2019,99
"464","Israel",2020,98.8
"465","Israel",2021,98.8
"466","Russia",2010,98
"467","Russia",2011,98.2
"468","Russia",2012,98.1
"469","Russia",2013,98.1
"470","Russia",2014,97.8
"471","Russia",2015,97.9
"472","Russia",2016,97.7
"473","Russia",2017,97.7
"474","Russia",2018,97.6
"475","Russia",2019,97.7
"476","Russia",2020,97.3
"477","Russia",2021,97.3
"478","Russia",2022,97.4
"479","Slovenia",2010,95
"480","Slovenia",2011,96
"481","Slovenia",2012,95
"482","Slovenia",2013,94
"483","Slovenia",2014,94
"484","Slovenia",2015,94
"485","Slovenia",2016,92.3
"486","Slovenia",2017,93
"487","Slovenia",2018,93
"488","Slovenia",2019,94
"489","Slovenia",2020,94
"490","Slovenia",2021,95
"491","South Africa",2010,84.8
"492","South Africa",2011,88.5
"493","South Africa",2012,89.1
"494","South Africa",2013,87.3
"495","South Africa",2014,91.7
"496","South Africa",2015,97.4
"497","South Africa",2016,84
"498","South Africa",2017,81.1
"499","South Africa",2018,81.7
"500","South Africa",2019,83.3
"501","South Africa",2020,84
"502","South Africa",2021,87.4
"503","Colombia",2010,88.5
"504","Colombia",2011,87.6
"505","Colombia",2012,93.8
"506","Colombia",2013,92.4
"507","Colombia",2014,91.3
"508","Colombia",2015,94
"509","Colombia",2016,92.6
"510","Colombia",2017,93.1
"511","Colombia",2018,95
"512","Colombia",2019,95
"513","Colombia",2020,90.5
"514","Colombia",2021,86.4
"515","Colombia",2022,88
"516","Lithuania",2010,96.1
"517","Lithuania",2011,93.7
"518","Lithuania",2012,93.4
"519","Lithuania",2013,93.3
"520","Lithuania",2014,93.4
"521","Lithuania",2015,94.2
"522","Lithuania",2016,93.7
"523","Lithuania",2017,93.5
"524","Lithuania",2018,92.2
"525","Lithuania",2019,92.7
"526","Lithuania",2020,90.1
"527","Lithuania",2021,88.4
"528","Lithuania",2022,86.5
"529","Latvia",2010,93
"530","Latvia",2011,92
"531","Latvia",2012,90
"532","Latvia",2013,96
"533","Latvia",2014,95
"534","Latvia",2015,96
"535","Latvia",2016,93.3
"536","Latvia",2017,96.4
"537","Latvia",2018,98
"538","Latvia",2019,99
"539","Latvia",2020,98.9
"540","Latvia",2021,96.5
"541","Latvia",2022,96.2
"542","Costa Rica",2010,85
"543","Costa Rica",2011,83
"544","Costa Rica",2012,91.5
"545","Costa Rica",2013,91.3
"546","Costa Rica",2014,95.4
"547","Costa Rica",2015,93
"548","Costa Rica",2016,93.1
"549","Costa Rica",2017,96
"550","Costa Rica",2018,94
"551","Costa Rica",2019,95
"552","Costa Rica",2020,94.9
"553","Costa Rica",2021,88.8
"554","Costa Rica",2022,90.2
"555","Croatia",2010,96
"556","Croatia",2011,95.8
"557","Croatia",2012,95
"558","Croatia",2013,93.8
"559","Croatia",2014,93.7
"560","Croatia",2015,92.8
"561","Croatia",2016,89.6
"562","Croatia",2017,89
"563","Croatia",2018,93.2
"564","Croatia",2019,93
"565","Croatia",2020,91.2
"566","Croatia",2021,89.3
"567","Croatia",2022,90
"568","Romania",2010,95
"569","Romania",2011,93
"570","Romania",2012,94
"571","Romania",2013,92
"572","Romania",2014,89
"573","Romania",2015,86
"574","Romania",2016,86
"575","Romania",2017,86
"576","Romania",2018,90
"577","Romania",2019,90
"578","Romania",2020,87
"579","Romania",2021,84.9
"580","Romania",2022,81.7
"581","Peru",2010,93.9
"582","Peru",2011,95.5
"583","Peru",2012,93.8
"584","Peru",2013,84.7
"585","Peru",2014,88.6
"586","Peru",2015,92.4
"587","Peru",2016,88
"588","Peru",2017,82
"589","Peru",2018,99
"590","Peru",2019,85
"591","Peru",2020,77.1
"592","Peru",2021,78.4
"593","Peru",2022,74
"594","Argentina",2010,95
"595","Argentina",2011,95
"596","Argentina",2012,94
"597","Argentina",2013,94
"598","Argentina",2014,94.8
"599","Argentina",2015,89
"600","Argentina",2016,90.2
"601","Argentina",2017,90
"602","Argentina",2018,94
"603","Argentina",2019,86
"604","Argentina",2020,77.3
"605","Argentina",2021,86.4
"606","Argentina",2022,82.8
"607","Bulgaria",2010,96.5
"608","Bulgaria",2011,94.5
"609","Bulgaria",2012,93.7
"610","Bulgaria",2013,95.1
"611","Bulgaria",2014,93.2
"612","Bulgaria",2015,91.5
"613","Bulgaria",2016,92.1
"614","Bulgaria",2017,93.8
"615","Bulgaria",2018,92.9
"616","Bulgaria",2019,95.1
"617","Bulgaria",2020,88.3
"618","Bulgaria",2021,89.5
"619","Bulgaria",2022,91.2
